id,auto_subspecialty,manual_subspecialty,question_preview
2016-054,MSK,,"Radius-lunate Greater arc injuries : radial styloid, scaphoid, capitate, triquet"
2016-055,CH,,Rapid enlargement of the lesion Orthopedic Imaging � A Practical Approach 5th
2016-056,CV,,Femur Orthopedic Imaging � A Practical Approach 5th
2016-057,CV,,prolapsed of atrioventricular valve on 4 chambers CINE images (E) all of the abo
2016-058,CV,,short left ventricular outflow tract (E)long right ventricular outflow tract A C
2016-059,CV,,"defect extend to atrioventricular valve insertion called ""inlet type"" (E)types o"
2016-060,Unknown,,Major aortopulmonary collateral arteryies (E)All of the above M 2nd
2016-061,Unknown,,"Regarding cleidocranial dysostosis, which of the following statement is TRUE?"
2016-062,MSK,,"All of the above Primer of Diagnostic Imaging, 3rd Edition, p.859 What is the mo"
2016-063,Unknown,,"Type 4 Primer of Diagnostic Imaging, 3rd Edition, p.845 (B) Which of the followi"
2016-064,ABD,,"Cryptorchidism Primer of Diagnostic Imaging, 3rd Edition, p.834 � gross ureteric"
2016-065,Unknown,,"Tonsillar hypertrophy Primer of Diagnostic Imaging, 3rd Edition, p.803~804 (B) S"
2016-066,ABD,,"Fatty replacement of the kidneys Primer of Diagnostic Imaging, 3rd"
2016-067,CH,,"Regarding pulmonary amyloidosis, which of the following statement is NOT correct"
2016-068,CH,,All of the above are correct. Thoracic
2016-069,CH,,Small cell lung cancer usually has massive bilateral mediastinal adenopathy. Tho
2016-070,CH,,Pleural thickening adjacent to the tumor seen in CT is not very accurate for che
2016-071,Breast,,"Regarding mammography, which of the following statement is NOT correct?"
2016-072,Breast,,Typical kVp for mammography are 80-100 kVp for rhodium (Rh). Breast imaging: the
2016-073,Breast,,"(A) Regarding mammoagraphy, which of the following statement is NOT correct?"
2016-074,Breast,,"MLO view means x-ray source in the medial location, and image receptor in the la"
2016-075,US,,"In MLO view, the inframammary fold is open, with lower breast and partial upper "
2016-076,US,,4.0 m/sec
2016-077,Unknown,,
2016-078,Unknown,,Seg 6 4
2016-079,CH,,Lymphoma (10%) (E) Stomach (2%)
2016-080,CH,,never develop after cessation of dust exposure Radiology Review Manual 7th editi
2016-081,CH,,bilateral symmetrical distribution is typical Radiology Review Manual 7th editio
2016-082,CV,,predilection for lung bases
2016-083,CV,,"miliary tuberculosis Radiology Review Manual 7th edition, p.549 Which statement "
2016-084,CV,,second most common benign cardiac neoplasm after myxoma
2016-085,ABD,,thickening of mural thrombus
2016-086,ABD,,"hemosiderin deposit, ossification (stage IV)"
2016-087,ABD,,It is most commonly unilateral.
2016-088,ABD,,Simple fluid Radiographics. 2014 May-Jun;34(3):805-29. Up to what percentage of 
2016-089,ABD,,70% Radiographics. 2014 May-Jun;34(3):805-29. C Which of the following condition
2016-090,ABD,,adrenal oncocytoma Radiographics. 2014 May-Jun;34(3):805-29. Which of the most c
2016-091,NR,,adrenal mass Radiographics. 2014 May-Jun;34(3):805-29. CNS germinoma
2016-092,NR,,basal ganglia thalami Diagnostic Imaging Brain 2nd
2016-093,Unknown,,Stage IV D Empty sella ?
2016-094,NR,,dorsum sellae defect Diagnostic Imaging Brain 2nd
2016-095,Unknown,,Foramen rotumdum
2016-096,ABD,,(A) Which of the following image finding of uterine cervical cancer on MRI does 
2016-097,Unknown,,"Pelvic lymphadenopathy Hricak, H. Diagnostic Imaging: Gynecology. Salt Lake City"
2016-098,Unknown,,"All of the above are typical image findings Hricak, H. Diagnostic Imaging: Gynec"
2016-099,Unknown,,(A) Which of the following is WRONG about adenoma malignum? Association: P-J syn
2016-100,Unknown,,"Has an unfavorable prognosis Hricak, H. Diagnostic Imaging: Gynecology. Salt Lak"
2016-101,ABD,,(A) Which of the following is WRONG about peritoneal inclusion cysts? non neopla
2016-102,ABD,,Which of the following is NOT a typical ultrasound finding of hepatic hemangioma
2016-103,ABD,,Which of the following is NOT a typical ultrasound finding of adenomyomatosis of
2016-104,US,,"All of the above are typical image findings Ahuja, A. Diagnostic Imaging: Ultras"
2016-105,US,,Which of the following is NOT a typical ultrasound finding in patients with port
2016-106,US,,"Recanalization of umbilical vein Ahuja, A. Diagnostic Imaging: Ultrasound. Salt "
2016-107,ABD,,Splenic hamartoma may associate with anemia and thrombocytopenia. Primer of Diag
2016-108,ABD,,T2/T3 tumors are often understaging because MRI cannot differentiated between de
2016-109,ABD,,A multiplanar reconstructed CT is helpful in demonstrating a right inferior hepa
2016-110,CV,,"Gastric Kaposi sarcoma can also result in ""bull's eye"" appearance. Expertddx abd"
2016-111,CV,,"Pleural effusion CT of the Acute Abdomen, Patrice Taourel; page 132 C It is reco"
2016-112,CV,,"6.0 cm Cardiovascular Imaging Review , 2011. Which of the following is the most "
2016-113,CV,,"Myxoma Cardiovascular Imaging Review , 2011. A Which of the following is the mos"
2016-114,CV,,"Fibrosarcoma (E) Osteosarcoma Cardiovascular Imaging Review , 2011. A 44-year-ol"
2016-115,CV,,Proceed with elective ascending aortic aneurysm surgical repair now Cardiovascul
2016-116,NR,,"Which is wrong about ""pituicytoma"""
2016-117,NR,,"Immunoreactive for vimentin, S-100 protein, epithelial membrane antigen (EMA) an"
2016-118,Unknown,,Most commonly arises from the left side between T9 and T12 B: hairpin Imaging of
2016-119,Unknown,,"Eclampsia. (E) DM. Hinchey J, Chaves C, Appignani B, Breen J, Pao L, Wang A, et "
2016-120,H&N,,Retinoblastoma is usually detected through leukocoria as it occurs in two third 
2016-121,Unknown,,All above statements were correct.
2016-122,NR,,Mandibular division of trigeminal nerve (E) Mandible ramus Diagnostic and Surgic
2016-123,NR,,All above were correct
2016-124,NR,,"Enhancement. (E) Metastasis. Philipp Kickingereder, et al. Primary Central Nervo"
2016-125,NR,,"Epidermoids show most commonly isointense to CSF, but low signal intensity on DW"
2016-126,NR,,The signs/symptoms of cerebral amyloid angiopathy include dementia Diagnostic Im
2016-127,Unknown,,left anterior cardinal vein left common cardinal vein Comprehensive Imaging Revi
2016-128,CH,,Complicated varix can be treated with combination of BRTO and transhepatic anteg
2016-129,ABD,,Vascular mediated cooling can dramatically affect the size and shape of the abla
2016-130,ABD,,"Resection (E) All above are correct. Forner A, Reig ME, de Lope CR, Bruix J. Cur"
2016-131,ABD,,Non-target embolization of falciform ligament artery may result in supraumbilica
2016-132,CH,,"Hernia sac lateral to the pubic tubercle AJR:189, August 2007, W78-83 C Which st"
2016-133,ABD,,Bile duct dilatation or history of endoscopic papillotomy or bilioenteric anasto
2016-134,CV,,All of the above Cardiovascular Magnetic Resonance. Oxford Specialist Handbooks.
2016-135,Breast,,T4a � tumor extension to pectoralis major or minor invasion chest wall (E) T4b �
2016-136,Breast,,Problem solve with DBT images may alleviate the need for additional diagnostic i
2016-137,Breast,,"Digital Breast Tomosynthesis (DBT) ? Chanllenges in DBT: dose, calcifications, l"
2016-138,H&N,,"Due to thin slices provided, DBT is usually better in visualizing the individual"
2016-139,US,,Low resolution US (3.5 MHz) is modality choice Diagnostic Imaging Genitourinary 
2016-140,US,,Microcalcifications
2016-141,US,,"refraction The Essential Physics of Medical Imaging, Chapter 14.2: interactions "
2016-142,US,,"Diffraction Chapter 14 Ultrasound. The Essential Physics of Medical Imaging, 3rd"
2016-143,US,,The associated hydrocele is an exudate that accumulates between the membranes of
2016-144,US,,cholesterol crystals are rarely found associated with the dilated ductules. � J 
2016-145,Unknown,,"Dexamethasone 5 mg/ 3 / 3 25 ,?"
2016-146,Unknown,,"12 eGFR MRI MRA nephrogenic systemic fibrosis, NSF"
2016-147,Unknown,,eGFR < 60 7 B Metformin Metformin ?
2016-148,Unknown,,1 9-10 ?
2016-149,Unknown,,1 9 Which one of the followings is not the feature of psoriatic arthritis
2016-150,Unknown,,Gull-wing erosion erosive arthritis AJR Am J Roentgenol. 1980;134 (1): 125-35 Co
2016-151,Unknown,,None of the above Fundamentals of Diagnostic
2016-152,CV,,Subcoracoid position of the humeral head Musculoskeletal Imaging: The Requisites
2016-153,CV,,Fibrous dysplasia Diagnostic images-Orthopedics. P8-42 D Which one of followings
2016-154,ABD,,<7 mm
2016-155,ABD,,Bilateral masses suggest nephroblastomatosis and genetic predisposition Radiogra
2016-156,ABD,,"Posterior in location Radiographics Volume 35(4), July-August 2015 (pp 1208-1230"
2016-157,NR,,The rates of morbidity and mortality are higher than with other head and neck in
2016-158,NR,,"Type 4, perimedullary AVM Caffey's pediatric diagnostic imaging 12th"
2016-159,NR,,Choroid plexus papilloma Osborn's Brain. Page 500-504 Glomus Jugulare tumor
2016-160,NR,,tinnitushearing loss
2016-161,NR,,"Colloid cyst Osborn's Brain, page 606-609 A 10 MRI T2-weighted peritrigone white"
2016-162,US,,Multiple slcerosis Osborn's Brain. Page 865-868
2016-163,US,,Digital mammography is higher in radiation dose than film-screen mammography. Ma
2016-164,US,,"Increased Doppler angle Ultrasound: The requisite, 2nd"
2016-165,US,,The most widely recognized refraction artifact occurs at the junction of the rec
2016-166,ABD,,The liver and spleen can appear brighter on out-of-phase images in the setting o
2016-167,ABD,,"In detection of multiple sclerosis plaques in posterior fossa, lesions could be "
2016-168,ABD,,"The complication includes perirenal abscess, necrotizing papillitis, and pyoneph"
2016-169,ABD,,"If the tumor size > 4 cm, partial nephrectomy is often recommended. Diagnostic i"
2016-170,CV,,Contrast enhancement varies depending on the different stage of fibrous tissue i
2016-171,CV,,The angiographic finding usually shows bizarre neoplastic vessels and arterioven
2016-172,CV,,"type I device failure Mita T, Arita T, Matsunaga M et al. Complications of endov"
2016-173,CV,,All is secondary aneurysm due to nonsyphilitic infection
2016-174,CV,,May with left to right shunt
2016-175,ABD,,Physical entrapment with compression of right common iliac artery by left common
2016-176,ABD,,Right aortic arch with mirror image branching often associated with Associated w
2016-177,Unknown,,Choledochal diverticulum is type II
2016-178,ABD,,"For Von Hippel-Lindau disease, renal involvement in all cases"
2016-179,Unknown,,Female > Male
2016-180,H&N,,MR image shows central scar which is more often detected than on US/CT.
2016-181,ABD,,"May be associated with thyroid tumor, thymoma, buccal mucosal tumor, and colonic"
2016-182,US,,The bell clapper deformity does not predispose to testicular torsion. Allan et.a
2016-183,US,,Inability to obliterate the vein lumen completely is the diagnostic criterion. B
2016-184,US,,The outer echogenic layer is serosa interface The Requisites Ultrasound P.221 C 
2016-185,PED,,"21 Pediatric Imaging The fundamentals P.100 = 3.1415 � pyloric muscle thickness,"
2016-186,US,,"None of above. (All of above are correct) The requisites of ultrasound, 2nd"
2016-187,Breast,,The tissue composition is important because is correlates with the ability of ma
2016-188,Breast,,The presence of Paget's cells in the epidermis within a biopsy specimen that con
2016-189,Breast,,The classic type invasive lobular carcinoma shows two types of histologic patter
2016-190,Unknown,,"Polyostotic fibrous dysplasia. Primer of Diagnostic Imaging 5th ed., p. 316 J-W "
2016-191,Unknown,,"Enthesopathy. Primer of Diagnostic Imaging 5th ed., p. 328 J-W Ku (SHH) D Which "
2016-192,Unknown,,"Soft tissue hemangiomas. Primer of Diagnostic Imaging 5th ed., p. 314 J-W Ku (SH"
2016-193,ABD,,Metastasis Radiology Review Manual 7th ed The 2nd most common cerebellopontine a
2016-194,ABD,,Acoustic neuroma Radiology Review Manual 7th ed A Concerning retroperitoneal fib
2016-195,CV,,CT grading systems are of limited valve in predicting the clinical outcome of sp
2016-196,CH,,"displacement of pulmonary vessels RadioGraphics, 2012: 32, 971-985 cavitary lung"
2016-197,CH,,Pulmonary septic emboli
2016-198,CV,,Amyloidosis Chest
2016-199,CH,,right paratracheal lymph nodes Thoracic sarcoidosis : The spectrum of roentgenol
2016-200,CV,,Endotention was not endoleak. Type V COMPREHENSIVE VASCULAR AND ENDOVASCULAR SUR
2016-201,CV,,myocarditis MRI late Gd enhancement interventricular septum distribution of enha
2016-202,CV,,Delayed hyperenhancement without increased T2 signal Diagnostic imaging. Cardiov
2016-203,CV,,Phase contrast imaging Diagnostic imaging Cardiovascular 2nd
2016-204,Breast,,There is no increased risk for the subsequent development of breast cancer in wo
2016-205,US,,General sonographic features are non specific and can mimic that of a fibroadeno
2016-206,Unknown,,7 (mSV) American College of
2016-207,Breast,,Geographic areas of symmetric regional enhancement Background Parenchymal Enhanc
2016-208,ABD,,"Patients with acute kidney insufficiency ESUR guideline on contrast medium, vers"
2016-209,ABD,,B Which of the following answer is correct for the definition of acute adverse r
2016-210,ABD,,within 6 hours of contrast medium injection ESUR contrast medium guideline versi
2016-211,ABD,,"Plain film of the kidney, ureter and bladder (KUB) Dalla Palma L, et al. Eur Rad"
2016-212,ABD,,"When acute pyelonephritis shows normal appearance on urography; similarly, norma"
2016-213,CV,,"Ureterovesicular junction: 3 mm Coll DM, et al. AJR Am J Roentgenol 2002;178(1):"
2016-214,Unknown,,Dynamic contrast enhanced (DCE) image American College of
2016-215,Physics,,extension of the inflammatory process to the perinephric space
2016-216,Unknown,,"Bushberg JT et al., The Essential Physics of Medical Imaging, 2nd Ed.,"
2016-217,Unknown,,"Bushberg JT et al., The Essential Physics of Medical Imaging, 3rd Ed., Lippincot"
2016-218,ABD,,"X (Whole Spine) 1.5mSv Bushberg JT et al., The Essential Physics of Medical Imag"
2016-219,ABD,,"R. H. Hashemi, et al., MRI the basics, 2nd Ed., Lippincott Williams & Wilkins, 1"
2016-220,ABD,,Multifocal fat deposition can be differentiated from hypovascular metastases and
2016-221,ABD,,indetermined Biliary Tract
2016-222,ABD,,Colon volvulus is rare in children Diagnostic imaging: Abdomen (2004) I-5-62~63.
2016-223,ABD,,"Its differential diagnosis include Budd-Chiari syndrome, hepatic cirrhosis with "
2016-224,Unknown,,"would not be ""rock hard"" resistant to percutaneous biopsy DIAGNOSTIC IMAGING ABD"
2016-225,Unknown,,"Imaging hallmark include pharyngitis, infectious lymphadenitis, and thrombosis o"
2016-226,NR,,Primary CNS lymphoma AJNR Am J Neuroradiol 2012; 33:1534-8 Dural sinus thrombosi
2016-227,CV,,Transverse sinus common site for hypoplastic segment variations that can mimic o
2016-228,CH,,"infectious endocarditis. NEJM, 373 (12), 1154-64, 2015 Patients with ARVC common"
2016-229,CH,,"Raduifraoguc features including inverted ""V"" or ""steeple sign"". Primer of diagno"
2016-230,ABD,,Chylothorax Imaging of the Newborn
2016-231,ABD,,"Plain X-ray Shoulder pad sign Musculoskeletal Image 2nd edition, Chapter 79, p.8"
2016-232,MSK,,"Talar collapse, mimicking a Charcot joint. Musculoskeletal Image 2nd"
2016-233,Unknown,,A slow growing low-grade osteosarcoma with better differentiation and better pro
2016-234,MSK,,Metacarpophlalngeal joint Musculoskeletal Imaging-Case review series 2nd
2016-235,Breast,,Strain elastography using ARFI as compressing force can serve as a quantificatio
2016-236,ABD,,projection of cortex into the renal sinus Sonography of the hypertrophied column
2016-237,CH,,"Large lesion may contain hypoechoic thrombosis, fibrosis and calcification. Fund"
2016-238,CH,,Presence of soft tissue density areas within the lesion RadioGraphics 2008; 28:1
2016-239,ABD,,Testicular metastases
2016-240,ABD,,Adrenal adenoma RadioGraphics 2004;24:435-452 D A 73-year-old male with poorly c
2016-241,MSK,,No intervention Morgan R and Waltzer E.Handbook of Angioplasty and stenting Proc
2016-242,Unknown,,Enostosis
2016-243,CH,,Catheter angiography is the gold standard for the diagnosis American Journal of 
2016-244,CH,,Mild irregularity of the endplates RadioGraphics 2010;195:W178-W200 A 50-year-ol
2016-245,CH,,Lace like pattern of bone destruction
2016-246,CH,,"Left tracheal wall, <2cm from tracheal bifurcation Thoracic Imaging, 2005 ed. W."
2016-247,CH,,"Hepatocellular carcinoma Thoracic Imaging, 2005 ed. W. Richard Webb, Charles B. "
2016-248,CH,,"Usual interstitial pneumonia Thoracic Imaging, 2005 ed. W. Richard Webb, Charles"
2016-249,NR,,Intraconal space 1. De Melo WM et al: Paranasal sinus infection causing orbital 
2016-250,Physics,,Pons B The effects of acute radiation syndromes are observed in the majority of 
2016-251,Physics,,"0.1 Gy Turner J: Chemical and biological effects of radiation. In Atoms, Radiati"
2016-252,ABD,,"Hematologic (e.g., hemoglobinopathy) 1. Peck-Radosavljevic M: Hypersplenism. Eur"
2016-253,Physics,,"X-ray photons are directly converted into an electric charge, which is read out "
2016-254,CV,,A type II endoleak occurs when there is poor apposition of the endograft to the 
2016-255,NR,,6 Gy Female: 12Gy Bushberg J et al: The Essential Physics of Medical Imaging 2nd
2016-256,NR,,"Multiple embolic infarcts Embolic infarcts, multiple metastases (with perilesion"
2016-257,CV,,"Type II Pryputniewicz DM et al: Axis fractures. Neurosurgery. 66(3 Suppl):68-82,"
2016-258,CV,,"According to the appropriateness criteria, what is the stent size below which it"
